provider,region,instance_type,vcpu,ram_gb,instance_count,monthly_hours,storage_gb,egress_gb,managed_db,load_balancer,avg_cpu_util,monthly_cost
AWS,us-east-1,m6i.xlarge,4,16,11,693.1,3178.8,1174.4,1,0,93.8,1909.17
AWS,us-east-1,t3.medium,2,4,9,251.4,3011.0,10153.5,0,0,61.6,1224.82
AWS,eu-west-2,m6i.4xlarge,16,64,16,655.1,3478.8,728.6,0,1,82.4,9107.32
GCP,europe-west2,n2-standard-2,2,8,1,371.2,2821.0,4087.2,1,0,73.8,674.19
GCP,us-central1,e2-medium,2,4,6,728.2,2838.6,12210.4,1,1,8.6,1414.38
GCP,us-central1,e2-medium,2,4,18,591.4,3796.5,15130.1,0,1,44.3,1851.26
Azure,southeastasia,D2s_v5,2,8,11,423.2,2400.7,17962.4,0,1,39.6,2190.46
GCP,europe-west2,n2-standard-4,4,16,3,278.4,3061.0,9925.8,0,1,11.0,1302.98
Azure,southeastasia,D4s_v5,4,16,2,328.2,3944.4,4179.2,1,0,49.8,916.33
GCP,europe-west2,n2-standard-16,16,64,7,258.2,1725.0,13795.2,0,1,56.1,2745.58
